Timing,Course Name,Class & Program,Room No.,UMS Class  No.,Teacher,Day 
"8:30 AM 
to 
9:45 AM",Information Security and Ethics ,BSCS-8,AUDITORIUM,96020,Dr. Irfan Nabi,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,EVENT HALL,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Islamic Schalory Tradition ,BSCS,MAC-1,96056,Dr. Wahab Suri,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Financial Institutions and Markets,BBA-4,MAC-2,71189,Dr. Saqib Sharif,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Institutional Economics,ECO - Elective,MAC-3,71273,Ms. Javeria Younas Abbas,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Fundamentals of Supply Chain Management,MGMT Elective,MAC-4,71185,Mr. Adnan Ahmad,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Pakistan History,BSAF,MAC-5,71204,Dr. Jaffar Ahmed,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Integrated Marketing Communication,MKT-E,MAC 6,71258,Ms. Kiran Kohati,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Production and Operations Management,BBA-6,MAC-7,71186,Mr. Sajjad H. Mahesri,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Statistical Modeling ,BSMT - 4,MAC-8,96104,Dr. Javed Iqbal,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MAS-1,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MAS-2,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Contemporary Issues in Global Economics,BSECO - 8,MAV-1,71276,Ms. Shafia Imtiaz,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Statistical Inferences ,BSECO - 4,MAV-2,71277,Dr. Amir Bashir,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-09,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Chinese -II,BBA-6,MCC-10,71192,Mr. Mirza Qaisar Ahmed Baig,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-11,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BBA-2,MCC12,71170,Mr. Farhan Shaukut ,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BBA-2,MCC-13,71169,Ms Sabina Qazi,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCC-14,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Chinese-1,BSEM-BS-Eco NS,MCC-15,95984,Ms.Sobia Akber,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Essential Software ,BSECO - 4,MCL-1,71278,Dr. Abdul Majid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MCL-2,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM","Computer Architecture and Assembly Language (Lab) Only Wednesday 
from 8:30 to 9:45 am & 10:00 to 11:15 am ",BSCS-4,MCL-3,71196,Dr. Salman Zafar,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Introduction to Text Analytics - Mega,CS Elective,MCS-3,96110 - 96111,Dr. Sajjad Haider ,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Data Manipulation & Visualization,MKT-E,MCS-4,71239,Mr. Asad Sajjid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Entrepreneurship,BBA-6,MCS-5,71240,Mr. Usman Nazir,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,MSCS/DS,MTC 16,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,,MTC-17,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Philosophy Logic and Ethics(PLE),BSSS-4,MTC-18,71183,Dr. Amana Raquib,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",German-1,All Program,MTC-19,95998,Mr. Irfan Khan,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Spanish-II,All Program,MTC-20,90091,Inés Mena Gómez de Merodio,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSCS-2,MTC-20A,71205,Dr. Nadya Chishty,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-21,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-22,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",PHILOSOPHY,,MTC-23,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-24,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSAF,MTC 25,71201,Ms. Samina Wahid,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-26,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Speech Communication,BSECO - 2,MTC-27,71282,Ms. Shumaila Omar,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTC-28,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate Programs ,,MTC-29,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",,,MTS 6,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Advanced Auditing,BSAF-8,MTS 7,71202,Mr. Abdul Basit,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM",Reserved for Graduate ,Reserved for MSCS/DS,MTS 8,,,Monday/Wednesday 
"8:30 AM 
to 
9:45 AM","Programming for Finance (Only Monday 8:30 to 9:45 & 10:00 to 11:15)
(Only Wednesday 8:30 to 9:45 & 10:00 to 11:15)",BSAF,MTL-4,71203 - 71200,Dr. Adnan Haider,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Information Security and Ethics ,BSCS-8,AUDITORIUM,96063,Dr. Irfan Nabi,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Islamic Scholarly Tradition/Islamic Scholarly Tradition,BSSS-4/BSEM-2(MEGA),EVENT HALL,71190/71191,Dr. Moiz Hassan ,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Clinical Psychology   ,BSSS - 6/8 Elective,MAC-1,71188,Dr. Saima Bint e Saif,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Islamic Scholarly Tradition,BSSS-4,MAC-2,71187,Dr. Amana Raquib,Monday/Wednesday 
"10:00 AM
 to 
11:15 AM",Speech Communication,BBA-2,MAC-3,71171,Ms. Tehmina Iftikhar Qureshi ,Monday/Wednesday 
